St„davtalNr	Radnummer	Konto	Ansvar	Projekt	Anl	Verksamhet	Aktivitet	Motpart	Objekt/Frikod	MK	MS	Period	Periodiseringsnyckel	 Val.belopp 	Valuta	 Belopp 	Text	
11	37	6132	59250			9125	8105	180	015611			202501		 14 409 		 14 409 	Bj”rkbacken omkl.rum	
12	38	3153	41612			9347	8036	180				202501		-8 278 		-8 278 	Delta	
12	39	6132	80671			9365	8115	180				202501		 2 649 		 2 649 	Delta	
12	40	6132	80671			9366	8115	180				202501		 2 048 		 2 048 	Delta	
12	41	6132	80671			9368	8115	180				202501		 3 581 		 3 581 	Delta	
13	42	6132	54001			2700	6138	180	0115			202501		 35 241 		 35 241 	Brandstationen 	
13	43	3153	41621			9349	8036	150	0115			202501		-35 241 		-35 241 	Brandstationen 	
14	44	6132	31081			5108	3111	180	0365			202501		 7 094 		 7 094 	Daglig verksamhet Kung Karl	
14	45	3153	41633			9349	8036	130	0365			202501		-6 407 		-6 407 	Daglig verksamhet Kung Karl	
14	46	3153	41612			9347	8035	130				202501		-686 		-686 	Daglig verksamhet Kung Karl	
15	47	6132	80350			3408	8105	180	8992			202501		 9 732 		 9 732 	Glumsl”v Idrottshall  	
15	48	3153	41623			9349	8036	180	8992			202501		-9 732 		-9 732 	Glumsl”v Idrottshall  	
16	49	3153	41632			9349	8036	150	001110			202501		-6 486 		-6 486 	Facken	
16	50	6132	50400			9258	5030	180	001110			202501		 6 486 		 6 486 	Facken	
17	51	3153	41612			9347	8036	130	8953			202501		-1 319 		-1 319 	Falkens trappa	
17	52	6132	32159			5202	3111	180	8953			202501		 1 319 		 1 319 	Falkens trappa, St Strandgatan	
18	53	6132	31011			5101	3111	180	0020			202501		 30 604 		 30 604 	F„ladsg†rden - Hemv†rden 	
18	54	6132	31013			5101	3111	180	0020			202501		 30 604 		 30 604 	F„ladsg†rden - Hemv†rden 	
18	55	6132	31014			5104	3111	180	0020			202501		 17 264 		 17 264 	F„ladsg†rden - Hemv†rden 	
18	56	3153	41632			9349	8036	130	0020			202501		-35 279 		-35 279 	F„ladsg†rden - Hemv†rden 	
18	57	3153	41612			9347	8035	130	0020			202501		-1 314 		-1 314 	F„ladsg†rden - Hemv†rden 	
18	58	3153	41612			9347	8032	130	0020			202501		-17 221 		-17 221 	F„ladsg†rden - Hemv†rden 	
18	59	3153	41632			9349	8036	130	0020			202501		-5 748 		-5 748 	F„ladsg†rden - Hemv†rden 	
18	60	3153	41632			9349	8036	130	0020			202501		-5 748 		-5 748 	F„ladsg†rden - Hemv†rden 	
18	61	3153	41632			9349	8036	130	0020			202501		-4 757 		-4 757 	F„ladsg†rden - Hemv†rden 	
18	62	3153	41632			9349	8036	130	0020			202501		-3 568 		-3 568 	F„ladsg†rden - Hemv†rden 	
18	63	3153	41612			9347	8032	130	0020			202501		-1 196 		-1 196 	F„ladsg†rden - Hemv†rden 	
18	64	3153	41612			9347	8032	130	0020			202501		-1 196 		-1 196 	F„ladsg†rden - Hemv†rden 	
18	65	3153	41612			9347	8032	130	0020			202501		-990 		-990 	F„ladsg†rden - Hemv†rden 	
18	66	3153	41612			9347	8032	130	0020			202501		-744 		-744 	F„ladsg†rden - Hemv†rden 	
